value,lower_count,upper_count,lower_percent,upper_percent
"1,001 to 10,000",1001,10000,,
"101 to 1,000",101,1000,,
11 to 100,11,100,,
3 to 10,3,10,,
Less than 3,1,2,,
Little,1,,,
Lots,1,,,
More than 10,11,,,
"More than 1,000",1001,,,
"More than 10,000",10001,,,
Some,1,,,
25-49%,,,0.25,0.49
5-24%,,,0.05,0.24
50-74%,,,0.5,0.74
75-94%,,,0.75,0.94
95% or more,,,0.95,1
Less than 25%,,,0.01,0.249
Less than 5%,,,0.01,0.049
Peak flower,,,0.5,1
Peak pollen,,,0.5,1
Peak opening,,,0.5,1
